Sido,sigungu,x_coordinate,y_coordinate,location_code,location_land_code
서울,종로구,60,127,11B10101,11B00000
서울,중구,60,127,11B10101,11B00000
서울,용산구,60,126,11B10101,11B00000
서울,성동구,61,127,11B10101,11B00000
서울,광진구,62,126,11B10101,11B00000
서울,동대문구,61,127,11B10101,11B00000
서울,중랑구,62,128,11B10101,11B00000
서울,성북구,61,127,11B10101,11B00000
서울,강북구,61,128,11B10101,11B00000
서울,도봉구,61,129,11B10101,11B00000
서울,노원구,61,129,11B10101,11B00000
서울,은평구,59,127,11B10101,11B00000
서울,서대문구,59,127,11B10101,11B00000
서울,마포구,59,127,11B10101,11B00000
서울,양천구,58,126,11B10101,11B00000
서울,강서구,58,126,11B10101,11B00000
서울,구로구,58,125,11B10101,11B00000
서울,금천구,59,124,11B10101,11B00000
서울,영등포구,58,126,11B10101,11B00000
서울,동작구,59,125,11B10101,11B00000
서울,관악구,59,125,11B10101,11B00000
서울,서초구,61,125,11B10101,11B00000
서울,강남구,61,126,11B10101,11B00000
서울,송파구,62,126,11B10101,11B00000
서울,강동구,62,126,11B10101,11B00000
부산,중구,97,74,11H20201,11H20000
부산,서구,97,74,11H20201,11H20000
부산,동구,98,75,11H20201,11H20000
부산,영도구,98,74,11H20201,11H20000
부산,부산진구,97,75,11H20201,11H20000
부산,동래구,98,76,11H20201,11H20000
부산,남구,98,75,11H20201,11H20000
부산,북구,96,76,11H20201,11H20000
부산,해운대구,99,75,11H20201,11H20000
부산,사하구,96,74,11H20201,11H20000
부산,금정구,98,77,11H20201,11H20000
부산,강서구,96,76,11H20201,11H20000
부산,연제구,98,76,11H20201,11H20000
부산,수영구,99,75,11H20201,11H20000
부산,사상구,96,75,11H20201,11H20000
부산,기장군,100,77,11H20201,11H20000
대구,중구,89,90,11H10701,11H10000
대구,동구,90,91,11H10701,11H10000
대구,서구,88,90,11H10701,11H10000
대구,남구,89,90,11H10701,11H10000
대구,북구,89,91,11H10701,11H10000
대구,수성구,89,90,11H10701,11H10000
대구,달서구,88,90,11H10701,11H10000
대구,달성군,86,88,11H10701,11H10000
대구,군위군,88,99,11H10701,11H10000
인천,중구,54,125,11B20201,11B00000
인천,동구,54,125,11B20201,11B00000
인천,미추홀구,54,124,11B20201,11B00000
인천,연수구,55,123,11B20201,11B00000
인천,남동구,56,124,11B20201,11B00000
인천,부평구,55,125,11B20201,11B00000
인천,계양구,56,126,11B20201,11B00000
인천,서구,55,126,11B20201,11B00000
인천,강화군,51,130,11B20201,11B00000
인천,옹진군,54,124,11B20201,11B00000
광주,동구,60,74,11F20501,11F20000
광주,서구,59,74,11F20501,11F20000
광주,남구,59,73,11F20501,11F20000
광주,북구,59,75,11F20501,11F20000
광주,광산구,57,74,11F20501,11F20000
대전,동구,68,100,11C20401,11C20000
대전,중구,68,100,11C20401,11C20000
대전,서구,67,100,11C20401,11C20000
대전,유성구,67,101,11C20401,11C20000
대전,대덕구,68,100,11C20401,11C20000
울산,중구,102,84,11H20101,11H20000
울산,남구,102,84,11H20101,11H20000
울산,동구,104,83,11H20101,11H20000
울산,북구,103,85,11H20101,11H20000
울산,울주군,101,84,11H20101,11H20000
세종특별자치시,세종시,66,103,11C20404,11C20000
경기,수원시 장안구,60,121,11B20601,11B00000
경기,수원시 권선구,60,120,11B20601,11B00000
경기,수원시 팔달구,61,121,11B20601,11B00000
경기,수원시 영통구,61,120,11B20601,11B00000
경기,성남시 수정구,63,124,11B20605,11B00000
경기,성남시 중원구,63,124,11B20605,11B00000
경기,성남시 분당구,62,123,11B20605,11B00000
경기,의정부시,61,130,11B20301,11B00000
경기,안양시 만안구,59,123,11B20602,11B00000
경기,안양시 동안구,59,123,11B20602,11B00000
경기,부천시,56,125,11B20204,11B00000
경기,광명시,58,125,11B10103,11B00000
경기,평택시,62,114,11B20606,11B00000
경기,동두천시,61,134,11B20401,11B00000
경기,안산시 상록구,58,121,11B20203,11B00000
경기,안산시 단원구,57,121,11B20203,11B00000
경기,고양시 덕양구,57,128,11B20302,11B00000
경기,고양시 일산동구,56,129,11B20302,11B00000
경기,고양시 일산서구,56,129,11B20302,11B00000
경기,과천시,60,124,11B10102,11B00000
경기,구리시,62,127,11B20501,11B00000
경기,남양주시,64,128,11B20502,11B00000
경기,오산시,62,118,11B20603,11B00000
경기,시흥시,57,123,11B20202,11B00000
경기,군포시,59,122,11B20610,11B00000
경기,의왕시,60,122,11B20609,11B00000
경기,하남시,64,126,11B20504,11B00000
경기,용인시 처인구,64,119,11B20612,11B00000
경기,용인시 기흥구,62,120,11B20612,11B00000
경기,용인시 수지구,62,121,11B20612,11B00000
경기,파주시,56,131,11B20305,11B00000
경기,이천시,68,121,11B20701,11B00000
경기,안성시,65,115,11B20611,11B00000
경기,김포시,55,128,11B20102,11B00000
경기,화성시,57,119,11B20604,11B00000
경기,광주시,65,123,11B20702,11B00000
경기,양주시,61,131,11B20304,11B00000
경기,포천시,64,134,11B20403,11B00000
경기,여주시,71,121,11B20703,11B00000
경기,연천군,61,138,11B20402,11B00000
경기,가평군,69,133,11B20404,11B00000
경기,양평군,69,125,11B20503,11B00000
강원,춘천시,73,134,11D10301,11D10000
강원,원주시,76,122,11D10401,11D10000
강원,강릉시,92,131,11D20501,11D20000
강원,동해시,97,127,11D20601,11D20000
강원,태백시,95,119,11D20301,11D20000
강원,속초시,87,141,11D20401,11D20000
강원,삼척시,98,125,11D20602,11D20000
강원,홍천군,75,130,11D10302,11D10000
강원,횡성군,77,125,11D10402,11D10000
강원,영월군,86,119,11D10501,11D10000
강원,평창군,84,123,11D10503,11D10000
강원,정선군,89,123,11D10502,11D10000
강원,철원군,65,139,11D10101,11D10000
강원,화천군,72,139,11D10102,11D10000
강원,양구군,77,139,11D10202,11D10000
강원,인제군,80,138,11D10201,11D10000
강원,고성군,85,145,11D20402,11D20000
강원,양양군,88,138,11D20403,11D20000
충북,청주시 상당구,69,106,11C10301,11C10000
충북,청주시 서원구,69,107,11C10301,11C10000
충북,청주시 흥덕구,67,106,11C10301,11C10000
충북,청주시 청원구,69,107,11C10301,11C10000
충북,충주시,76,114,11C10101,11C10000
충북,제천시,81,118,11C10201,11C10000
충북,보은군,73,103,11C10302,11C10000
충북,옥천군,71,99,11C10403,11C10000
충북,영동군,74,97,11C10402,11C10000
충북,증평군,71,110,11C10304,11C10000
충북,진천군,68,111,11C10102,11C10000
충북,괴산군,74,111,11C10303,11C10000
충북,음성군,72,113,11C10103,11C10000
충북,단양군,84,115,11C10202,11C10000
충남,천안시 동남구,63,110,11C20301,11C20000
충남,천안시 서북구,63,112,11C20301,11C20000
충남,공주시,63,102,11C20402,11C20000
충남,보령시,54,100,11C20201,11C20000
충남,아산시,60,110,11C20302,11C20000
충남,서산시,51,110,11C20101,11C20000
충남,논산시,62,97,11C20602,11C20000
충남,계룡시,65,99,11C20403,11C20000
충남,당진시,54,112,11C20103,11C20000
충남,금산군,69,95,11C20601,11C20000
충남,부여군,59,99,11C20501,11C20000
충남,서천군,55,94,11C20202,11C20000
충남,청양군,57,103,11C20502,11C20000
충남,홍성군,55,106,11C20104,11C20000
충남,예산군,58,107,11C20303,11C20000
충남,태안군,48,109,11C20102,11C20000
전북,전주시 완산구,63,89,11F10201,11F10000
전북,전주시 덕진구,63,89,11F10201,11F10000
전북,군산시,56,92,21F10501,11F10000
전북,익산시,60,91,11F10202,11F10000
전북,정읍시,58,83,11F10203,11F10000
전북,남원시,68,80,11F10401,11F10000
전북,김제시,59,88,21F10502,11F10000
전북,완주군,63,89,11F10204,11F10000
전북,진안군,68,88,11F10303,11F10000
전북,무주군,72,93,11F10302,11F10000
전북,장수군,70,85,11F10301,11F10000
전북,임실군,66,84,11F10402,11F10000
전북,순창군,63,79,11F10403,11F10000
전북,고창군,56,80,21F10601,11F10000
전북,부안군,56,87,21F10602,11F10000
전남,목포시,50,67,21F20801,11F20000
전남,여수시,73,66,11F20401,11F20000
전남,순천시,70,70,11F20405,11F20000
전남,나주시,56,71,11F20503,11F20000
전남,광양시,73,70,11F20402,11F20000
전남,담양군,61,78,11F20504,11F20000
전남,곡성군,66,77,11F20602,11F20000
전남,구례군,69,75,11F20601,11F20000
전남,고흥군,66,62,11F20403,11F20000
전남,보성군,62,66,11F20404,11F20000
전남,화순군,61,72,11F20505,11F20000
전남,장흥군,59,64,11F20304,11F20000
전남,강진군,57,63,11F20303,11F20000
전남,해남군,54,61,11F20302,11F20000
전남,영암군,56,66,21F20802,11F20000
전남,무안군,52,71,21F20804,11F20000
전남,함평군,52,72,21F20101,11F20000
전남,영광군,52,77,21F20102,11F20000
전남,장성군,57,77,11F20502,11F20000
전남,완도군,57,56,11F20301,11F20000
전남,진도군,48,59,21F20201,11F20000
전남,신안군,50,66,21F20803,11F20000
경북,포항시 남구,102,94,11H10201,11H10000
경북,포항시 북구,102,95,11H10201,11H10000
경북,경주시,100,91,11H10202,11H10000
경북,김천시,80,96,11H10601,11H10000
경북,안동시,91,106,11H10501,11H10000
경북,구미시,84,96,11H10602,11H10000
경북,영주시,89,111,11H10401,11H10000
경북,영천시,95,93,11H10702,11H10000
경북,상주시,81,102,11H10302,11H10000
경북,문경시,81,106,11H10301,11H10000
경북,경산시,91,90,11H10703,11H10000
경북,의성군,90,101,11H10502,11H10000
경북,청송군,96,103,11H10503,11H10000
경북,영양군,97,108,11H10403,11H10000
경북,영덕군,102,103,11H10102,11H10000
경북,청도군,91,86,11H10704,11H10000
경북,고령군,83,87,11H10604,11H10000
경북,성주군,83,91,11H10605,11H10000
경북,칠곡군,85,93,11H10705,11H10000
경북,예천군,86,107,11H10303,11H10000
경북,봉화군,90,113,11H10402,11H10000
경북,울진군,102,115,11H10101,11H10000
경북,울릉군,127,127,11E00101,11H10000
경남,창원시 의창구,90,77,11H20301,11H20000
경남,창원시 성산구,91,76,11H20301,11H20000
경남,창원시 마산합포구,89,76,11H20301,11H20000
경남,창원시 마산회원구,89,76,11H20301,11H20000
경남,창원시 진해구,91,75,11H20301,11H20000
경남,진주시,81,75,11H20701,11H20000
경남,통영시,87,68,11H20401,11H20000
경남,사천시,80,71,11H20402,11H20000
경남,김해시,95,77,11H20304,11H20000
경남,밀양시,92,83,11H20601,11H20000
경남,거제시,90,69,11H20403,11H20000
경남,양산시,97,79,11H20102,11H20000
경남,의령군,83,78,11H20602,11H20000
경남,함안군,86,77,11H20603,11H20000
경남,창녕군,87,83,11H20604,11H20000
경남,고성군,85,71,11H20404,11H20000
경남,남해군,77,68,11H20405,11H20000
경남,하동군,74,73,11H20704,11H20000
경남,산청군,76,80,11H20703,11H20000
경남,함양군,74,82,11H20501,11H20000
경남,거창군,77,86,11H20502,11H20000
경남,합천군,81,84,11H20503,11H20000
제주특별자치도,제주시,53,38,11G00201,11G00000
제주특별자치도,서귀포시,52,33,11G00401,11G00000